id,name,specialization,hospital,state,city,experience,rating,contact
1,Dr.Nikhil Desai,Cardiology,Ayushman Super Specialty Cardiology Center,Maharashtra,Mumbai,25,3.9,9949287514
2,Dr.Reshma Patel,Cardiology,Lotus Health Institute Cardiology Center,Maharashtra,Mumbai,8,4.0,9529980854
3,Dr.Amit Dutta,Cardiology,Care Plus Hospital Cardiology Center,Maharashtra,Mumbai,15,3.3,9523663611
4,Dr.Manoj Gupta,Infectious Disease,Ayushman Super Specialty Infectious Disease Center,Maharashtra,Mumbai,21,4.6,9277607355
5,Dr.Reshma Malhotra,Infectious Disease,Apollo MedCenter Infectious Disease Center,Maharashtra,Mumbai,17,4.3,9205046480
6,Dr.Raj Singh,Infectious Disease,Om Shree Hospital Infectious Disease Center,Maharashtra,Mumbai,9,3.4,9287544715
7,Dr.Yash Chatterjee,Endocrinology,Narayana Health Endocrinology Center,Maharashtra,Mumbai,25,4.7,9014334199
8,Dr.Gaurav Kapoor,Endocrinology,Divine Heart Hospital Endocrinology Center,Maharashtra,Mumbai,25,3.6,9135209206
9,Dr.Deepika Nair,Endocrinology,Narayana Health Endocrinology Center,Maharashtra,Mumbai,14,3.6,9361729354
10,Dr.Nidhi Dutta,Psychiatry,Om Shree Hospital Psychiatry Center,Maharashtra,Mumbai,25,3.9,9782712719
11,Dr.Harsha Rastogi,Psychiatry,Narayana Health Psychiatry Center,Maharashtra,Mumbai,10,3.7,9317123549
12,Dr.Lakshmi Naidu,Psychiatry,Divine Heart Hospital Psychiatry Center,Maharashtra,Mumbai,19,4.0,9249155306
13,Dr.Arjun Mishra,Pulmonology,Shanti Wellness Hospital Pulmonology Center,Maharashtra,Mumbai,28,3.4,9121588198
14,Dr.Meera Mohanty,Pulmonology,Ayushman Super Specialty Pulmonology Center,Maharashtra,Mumbai,8,4.6,9058881655
15,Dr.Deepika Dwivedi,Pulmonology,Prime Medicare Hospital Pulmonology Center,Maharashtra,Mumbai,16,4.1,9276355350
16,Dr.Nikhil Chauhan,Neurology,Shanti Wellness Hospital Neurology Center,Maharashtra,Mumbai,29,4.6,9712072224
17,Dr.Harsha Rastogi,Neurology,Lotus Health Institute Neurology Center,Maharashtra,Mumbai,9,3.7,9575775627
18,Dr.Preeti Agarwal,Neurology,Lotus Health Institute Neurology Center,Maharashtra,Mumbai,9,3.7,9774895885
19,Dr.Karan Mahajan,General Medicine,CityCare Hospital General Medicine Center,Maharashtra,Mumbai,30,4.7,9403544832
20,Dr.Preeti Malhotra,General Medicine,CityCare Hospital General Medicine Center,Maharashtra,Mumbai,7,3.3,9727938520
21,Dr.Lakshmi Malhotra,General Medicine,Vidyasagar Hospital General Medicine Center,Maharashtra,Mumbai,14,3.9,9057129304
22,Dr.Yash Das,Urology,Global Life Hospital Urology Center,Maharashtra,Mumbai,16,4.4,9743301580
23,Dr.Meera Pillai,Urology,Lotus Health Institute Urology Center,Maharashtra,Mumbai,22,4.1,9262657911
24,Dr.Tanvi Pandey,Urology,Lotus Health Institute Urology Center,Maharashtra,Mumbai,19,4.9,9760464095
25,Dr.Tanvi Mishra,Hematology,Prime Medicare Hospital Hematology Center,Maharashtra,Mumbai,18,4.6,9011224927
26,Dr.Dev Reddy,Hematology,Care Plus Hospital Hematology Center,Maharashtra,Mumbai,20,3.8,9042371124
27,Dr.Karan Agarwal,Hematology,Ayushman Super Specialty Hematology Center,Maharashtra,Mumbai,15,3.9,9770320479
28,Dr.Raj Naidu,Nephrology,Medicover Clinic Nephrology Center,Maharashtra,Mumbai,7,3.9,9566659720
29,Dr.Kavita Desai,Nephrology,Fortis Healthcare Nephrology Center,Maharashtra,Mumbai,20,4.9,9879295057
30,Dr.Suresh Tripathi,Nephrology,Sunrise Multispeciality Nephrology Center,Maharashtra,Mumbai,22,3.9,9992187972
31,Dr.Neha Tripathi,Rheumatology,Divine Heart Hospital Rheumatology Center,Maharashtra,Mumbai,30,3.2,9869685730
32,Dr.Kavita Nair,Rheumatology,Medicover Clinic Rheumatology Center,Maharashtra,Mumbai,29,3.4,9133507230
33,Dr.Rohit Mehta,Rheumatology,Om Shree Hospital Rheumatology Center,Maharashtra,Mumbai,4,4.7,9366765222
34,Dr.Bhavna Nair,Oncology,CureWell Multispecialty Oncology Center,Maharashtra,Mumbai,8,4.0,9248792427
35,Dr.Sakshi Tiwari,Oncology,Sunrise Multispeciality Oncology Center,Maharashtra,Mumbai,9,4.8,9030742947
36,Dr.Lakshmi Roy,Oncology,CureWell Multispecialty Oncology Center,Maharashtra,Mumbai,16,4.6,9809929654
37,Dr.Vikram Sinha,Dermatology,Harmony Health Hub Dermatology Center,Maharashtra,Mumbai,23,3.9,9574182874
38,Dr.Vinay Mohanty,Dermatology,Global Life Hospital Dermatology Center,Maharashtra,Mumbai,20,3.7,9198877063
39,Dr.Preeti Chatterjee,Dermatology,Om Shree Hospital Dermatology Center,Maharashtra,Mumbai,14,5.0,9891283955
40,Dr.Nikhil Menon,Gastroenterology,Sanjeevani Hospital Gastroenterology Center,Maharashtra,Mumbai,15,3.1,9613252365
41,Dr.Kavita Bhattacharya,Gastroenterology,Prime Medicare Hospital Gastroenterology Center,Maharashtra,Mumbai,29,3.6,9355462557
42,Dr.Geeta Chatterjee,Gastroenterology,Shanti Wellness Hospital Gastroenterology Center,Maharashtra,Mumbai,14,3.7,9096325454
43,Dr.Ravi Naidu,Hepatology,Sunrise Multispeciality Hepatology Center,Maharashtra,Mumbai,12,3.1,9328836829
44,Dr.Swati Tripathi,Hepatology,Shanti Wellness Hospital Hepatology Center,Maharashtra,Mumbai,21,4.8,9209997911
45,Dr.Anjali Desai,Hepatology,Ayushman Super Specialty Hepatology Center,Maharashtra,Mumbai,24,4.4,9490173128
46,Dr.Bhavna Dutta,Vascular Surgery,Sanjeevani Hospital Vascular Surgery Center,Maharashtra,Mumbai,19,4.0,9806259747
47,Dr.Kavita Jain,Vascular Surgery,Apollo MedCenter Vascular Surgery Center,Maharashtra,Mumbai,15,3.6,9302154302
48,Dr.Nikhil Das,Vascular Surgery,Om Shree Hospital Vascular Surgery Center,Maharashtra,Mumbai,6,3.4,9005069040
49,Dr.Isha Bhattacharya,General Surgery,Om Shree Hospital General Surgery Center,Maharashtra,Mumbai,19,3.3,9176410895
50,Dr.Nidhi Mahajan,General Surgery,Harmony Health Hub General Surgery Center,Maharashtra,Mumbai,14,3.5,9473603061
51,Dr.Swati Menon,General Surgery,Sanjeevani Hospital General Surgery Center,Maharashtra,Mumbai,19,4.0,9856655636
52,Dr.Meera Menon,Orthopedics,Om Shree Hospital Orthopedics Center,Maharashtra,Mumbai,22,4.9,9928251702
53,Dr.Ravi Jain,Orthopedics,Medicover Clinic Orthopedics Center,Maharashtra,Mumbai,5,3.9,9973436698
54,Dr.Rahul Singh,Orthopedics,Sri Ram Medical Center Orthopedics Center,Maharashtra,Mumbai,5,4.5,9001757038
55,Dr.Rahul Chauhan,Dentistry,Prime Medicare Hospital Dentistry Center,Maharashtra,Mumbai,20,4.6,9929653666
56,Dr.Anil Saxena,Dentistry,Shanti Wellness Hospital Dentistry Center,Maharashtra,Mumbai,9,3.3,9086486772
57,Dr.Priya Sharma,Dentistry,Prime Medicare Hospital Dentistry Center,Maharashtra,Mumbai,24,4.3,9020730985
58,Dr.Geeta Jain,Gynecology,Sanjeevani Hospital Gynecology Center,Maharashtra,Mumbai,15,3.8,9623978118
59,Dr.Gaurav Sharma,Gynecology,Apollo MedCenter Gynecology Center,Maharashtra,Mumbai,14,3.7,9554505250
60,Dr.Meera Sharma,Gynecology,Apollo MedCenter Gynecology Center,Maharashtra,Mumbai,11,3.9,9067769528
61,Dr.Pooja Desai,Ophthalmology,Apollo MedCenter Ophthalmology Center,Maharashtra,Mumbai,19,3.4,9388143950
62,Dr.Vinay Reddy,Ophthalmology,Sunrise Multispeciality Ophthalmology Center,Maharashtra,Mumbai,8,3.5,9427786104
63,Dr.Vikram Naidu,Ophthalmology,Sri Ram Medical Center Ophthalmology Center,Maharashtra,Mumbai,7,5.0,9085847104
64,Dr.Ritu Tiwari,Addiction Medicine,Healing Touch Hospital Addiction Medicine Center,Maharashtra,Mumbai,10,4.9,9930311914
65,Dr.Swati Sinha,Addiction Medicine,Narayana Health Addiction Medicine Center,Maharashtra,Mumbai,7,3.4,9226872511
66,Dr.Meera Nair,Addiction Medicine,Fortis Healthcare Addiction Medicine Center,Maharashtra,Mumbai,27,3.0,9401686387
67,Dr.Raj Shetty,Cardiology,Om Shree Hospital Cardiology Center,Maharashtra,Pune,4,3.7,9632354333
68,Dr.Lakshmi Mehta,Cardiology,Medicover Clinic Cardiology Center,Maharashtra,Pune,11,3.7,9703897689
69,Dr.Dev Mohanty,Cardiology,Divine Heart Hospital Cardiology Center,Maharashtra,Pune,13,3.2,9569665578
70,Dr.Manoj Dutta,Infectious Disease,Lotus Health Institute Infectious Disease Center,Maharashtra,Pune,19,4.2,9480031192
71,Dr.Karan Bhandari,Infectious Disease,Prime Medicare Hospital Infectious Disease Center,Maharashtra,Pune,29,4.5,9129552051
72,Dr.Sunil Shetty,Infectious Disease,Prime Medicare Hospital Infectious Disease Center,Maharashtra,Pune,29,4.6,9060564011
73,Dr.Ritu Roy,Endocrinology,CureWell Multispecialty Endocrinology Center,Maharashtra,Pune,21,4.8,9058376406
74,Dr.Geeta Iyer,Endocrinology,Lotus Health Institute Endocrinology Center,Maharashtra,Pune,10,4.8,9553151748
75,Dr.Harsha Desai,Endocrinology,Medicover Clinic Endocrinology Center,Maharashtra,Pune,28,4.4,9855408037
76,Dr.Sunil Tiwari,Psychiatry,Divine Heart Hospital Psychiatry Center,Maharashtra,Pune,16,3.3,9154371548
77,Dr.Arjun Bhattacharya,Psychiatry,Sunrise Multispeciality Psychiatry Center,Maharashtra,Pune,18,4.2,9811551020
78,Dr.Kavita Singh,Psychiatry,Ayushman Super Specialty Psychiatry Center,Maharashtra,Pune,6,3.7,9730933018
79,Dr.Sneha Mehta,Pulmonology,CityCare Hospital Pulmonology Center,Maharashtra,Pune,21,4.3,9645345545
80,Dr.Karan Rastogi,Pulmonology,Vidyasagar Hospital Pulmonology Center,Maharashtra,Pune,10,4.6,9506465695
81,Dr.Vikram Agarwal,Pulmonology,Prime Medicare Hospital Pulmonology Center,Maharashtra,Pune,12,3.6,9922039395
82,Dr.Karan Mahajan,Neurology,Sunrise Multispeciality Neurology Center,Maharashtra,Pune,23,4.0,9582871864
83,Dr.Bhavna Bhandari,Neurology,Sunrise Multispeciality Neurology Center,Maharashtra,Pune,17,4.5,9731009591
84,Dr.Yash Mehta,Neurology,Narayana Health Neurology Center,Maharashtra,Pune,14,3.2,9905262347
85,Dr.Gaurav Mehta,General Medicine,Narayana Health General Medicine Center,Maharashtra,Pune,28,4.7,9581500571
86,Dr.Vinay Naidu,General Medicine,Care Plus Hospital General Medicine Center,Maharashtra,Pune,30,4.9,9702751621
87,Dr.Preeti Reddy,General Medicine,Prime Medicare Hospital General Medicine Center,Maharashtra,Pune,15,3.7,9723383790
88,Dr.Ravi Khan,Urology,Fortis Healthcare Urology Center,Maharashtra,Pune,4,4.8,9274751093
89,Dr.Aditya Shetty,Urology,Care Plus Hospital Urology Center,Maharashtra,Pune,19,3.1,9600095904
90,Dr.Nikhil Agarwal,Urology,Global Life Hospital Urology Center,Maharashtra,Pune,17,3.9,9195694481
91,Dr.Karan Bhattacharya,Hematology,Care Plus Hospital Hematology Center,Maharashtra,Pune,6,4.3,9143003180
92,Dr.Kriti Choudhary,Hematology,Narayana Health Hematology Center,Maharashtra,Pune,12,3.4,9633169041
93,Dr.Yash Shetty,Hematology,Vidyasagar Hospital Hematology Center,Maharashtra,Pune,19,4.2,9962441643
94,Dr.Kavita Chauhan,Nephrology,Sri Ram Medical Center Nephrology Center,Maharashtra,Pune,8,3.3,9154705776
95,Dr.Ravi Dwivedi,Nephrology,Shanti Wellness Hospital Nephrology Center,Maharashtra,Pune,14,4.0,9932665056
96,Dr.Ravi Khan,Nephrology,Ayushman Super Specialty Nephrology Center,Maharashtra,Pune,12,4.3,9741778987
97,Dr.Sanjay Desai,Rheumatology,Care Plus Hospital Rheumatology Center,Maharashtra,Pune,26,3.4,9798757430
98,Dr.Sakshi Verma,Rheumatology,CureWell Multispecialty Rheumatology Center,Maharashtra,Pune,11,3.5,9035601273
99,Dr.Karan Joshi,Rheumatology,Shanti Wellness Hospital Rheumatology Center,Maharashtra,Pune,22,4.3,9805268324
100,Dr.Anil Reddy,Oncology,Fortis Healthcare Oncology Center,Maharashtra,Pune,26,4.5,9905244569
101,Dr.Nidhi Tiwari,Oncology,Care Plus Hospital Oncology Center,Maharashtra,Pune,29,3.5,9057918072
102,Dr.Amit Mehta,Oncology,Fortis Healthcare Oncology Center,Maharashtra,Pune,12,4.6,9808719987
103,Dr.Sakshi Mehta,Dermatology,Harmony Health Hub Dermatology Center,Maharashtra,Pune,28,3.2,9191958998
104,Dr.Raj Chatterjee,Dermatology,Care Plus Hospital Dermatology Center,Maharashtra,Pune,25,4.5,9887690080
105,Dr.Anjali Agarwal,Dermatology,Fortis Healthcare Dermatology Center,Maharashtra,Pune,23,4.7,9393819997
106,Dr.Neha Chauhan,Gastroenterology,Narayana Health Gastroenterology Center,Maharashtra,Pune,15,4.0,9472368366
107,Dr.Pooja Bhandari,Gastroenterology,Sri Ram Medical Center Gastroenterology Center,Maharashtra,Pune,19,4.8,9953868731
108,Dr.Suresh Mahajan,Gastroenterology,Sanjeevani Hospital Gastroenterology Center,Maharashtra,Pune,9,4.1,9178349267
109,Dr.Sakshi Rastogi,Hepatology,Lotus Health Institute Hepatology Center,Maharashtra,Pune,21,4.5,9486441832
110,Dr.Sanjay Chauhan,Hepatology,Prime Medicare Hospital Hepatology Center,Maharashtra,Pune,4,4.3,9409895063
111,Dr.Sneha Sinha,Hepatology,Vidyasagar Hospital Hepatology Center,Maharashtra,Pune,9,3.0,9295592022
112,Dr.Gaurav Sinha,Vascular Surgery,Global Life Hospital Vascular Surgery Center,Maharashtra,Pune,6,4.6,9195355239
113,Dr.Vikram Gupta,Vascular Surgery,Divine Heart Hospital Vascular Surgery Center,Maharashtra,Pune,26,3.4,9516617446
114,Dr.Lakshmi Naidu,Vascular Surgery,Sunrise Multispeciality Vascular Surgery Center,Maharashtra,Pune,27,3.8,9805759259
115,Dr.Amit Gill,General Surgery,Healing Touch Hospital General Surgery Center,Maharashtra,Pune,18,4.4,9760767386
116,Dr.Bhavna Tripathi,General Surgery,CureWell Multispecialty General Surgery Center,Maharashtra,Pune,7,3.4,9834241535
117,Dr.Kavita Saxena,General Surgery,Healing Touch Hospital General Surgery Center,Maharashtra,Pune,13,3.7,9597501333
